company,year,energy_consumption,female_employees,ghg_scope_1,ghg_scope_2,living_wage_policy,modern_slavery_statement,total_waste_generated,total_waste_recycled,water_withdrawals,total_employees,supplier_list,supplied_by,address
Artemis Group,2018,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Artemis Group,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Artemis Investment Management LLP,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Artisan Partners Asset Management Inc.,2020,,,,,,Yes - UK Modern Slavery Act,,,,,,,
Arvest Funds AG,2020,,,,,,No - neither,,,,,,,
Arvind Limited,2015,5962112,,417214,439498,,,,,,,,,
Arvind Limited,2016,5893815,,431290,432253,,,,,,,,,
"Arvind Limited,2017,Unknown,,Unknown,Unknown,,,,,,,,,""26/2 & 27/2, Kenchanahalli, Mysore Road, 560059, Bangalore""",nan,,,,,,,,,,,,,
"Arvind Limited,2019,4264000,12127,Unknown,Unknown,No Living Wage Policy,,Unknown,Unknown,4364000,,,,""381 Srn Reddy's Industrial Complex Bangalore 560100 Karnataka, India""",nan,,,,,,,,,,,,,
"Arvind Limited,2021,,Unknown,,,No Living Wage Policy,,,,,,,,""63/09,Dodda Thogur Village Electricity City Phase-1 Bangalore, Karnataka, India""",nan,,,,,,,,,,,,,
Arvind Limited,2022,6412024,,362942,283654,,,26421.58,17342.42,,,,,
"Arvind Limited,2023, 9771300,8816,418910.94,174369.54,Living Wage Methodology described,,27878.78,20509.93,2503697.8,,,,""63/9, DODDATHOGUR-VILLAGE, BEGUR-HOBLI, ELECTRONIC CITY -POST, BANGALORE 560100   IN""",nan,,,,,,,,,,,,,
Ascena Retail Group Inc,2017,,,,,,,,,,,,,
Ascena Retail Group Inc,2018,,59850,,,No Living Wage Policy,,,,,63000,,,
Ascena Retail Group Inc,2019,1783575,43989,15823,196039,No Living Wage Policy,,,,,,,109,
"Ascena Retail Group Inc,2020,Unknown,Unknown,Unknown,Unknown,Living Wage mentioned,,Unknown,Unknown,Unknown,,""Yes, Tier 1 only"",,",nan,,,,,,,,,,,,,
Asics Corporation,2016,256680,,4439,23293,,,,,,,,,
Asics Corporation,2017,245160,,4475,20968,,,,,,,,106,
Asics Corporation,2018,253440,,4064,20879,No Living Wage Policy,,3079,2440,72518,8823,,127,
"Asics Corporation,2019,262800,2766,3874,22137,No Living Wage Policy,,2983,2410,73016,,,,""1-1, Minatojima-Nakamachi 7-chome, Chuo-ku, Kobe, 650-8555, Japan",nan,,,,,,,,,,,,,
"ASICS Europe B.V., Taurusavenue 165 , 2132 LS Hoofddorp, the Netherlands""",nan,,,,,,,,,,,,,
Asics Corporation,2020,231840,347,2873,20262,,,1569,1216,,998,,,
Asics Corporation,2021,232560,330,3071,19138,,,1674,1324,,916,,164,
Asics Corporation,2022,232560,3403,3071,,,,1674,1324,,8886,,125,
Asics Corporation,2023,245159.99,,3581,18077,No Living Wage Policy,,2461,2030,73497,,,92,
Asos,2004,,,,,,,,,,44,,,
Asos,2005,,,,,,,,,,76,,,
Asos,2006,,,,,,,,,,135,,,
Asos,2007,,,,,,,,,,131,,,
Asos,2008,,,,,,,,,,176,,,
Asos,2009,,,,,,,,,,370,,,
Asos,2010,,,,,,,,,,547,,,
Asos,2011,,,,,,,,,,657,,,
Asos,2012,,,,,,,,,,842,,,
Asos,2013,,,,,,,,,,1164,,,
Asos,2014,,,,,,,,,,1627,,,
Asos,2015,,,,,,,,,,1892,,,
Asos,2016,,,778,4882,,,,,,2381,,,
