Company,Year,Energy_Consumption,Female_Employees,GHG_Scope_1,GHG_Scope_2,Living_Wage_Policy,Modern_Slavery_Statement,Total_Waste_Generated,Total_Waste_Recycled,Water_Withdrawals,Total_Employees,Supplier_List,Supplied_By,Address
"Adidas AG,2019,100271,30957,6620,21690,No Living Wage Policy,Yes - UK Modern Slavery Act,2247,Unknown,43822,,,604,""Adi-Dassler-Str. 1, 91074 Herzogenaurach, Germany""",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adidas AG,2020,NA,34256,NA,NA,NA,Yes - UK Modern Slavery Act,32951,NA,NA,62285,NA,1126,NA
Adidas AG,2023,1780160.4,30105,21779,142457,Living Wage mentioned,NA,26382,NA,NA,NA,NA,375,NA
"Adidas AG,2024,,,20844,,,""Yes - UK Modern Slavery Act, Yes - California Transparency in Supply Chains Act, Yes - Australian Modern Slavery Act, Yes - Norwegian Transparency Act, Yes - Canadian Act"",,,,,,,",nan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aditya Birla Fashion & Retail Ltd,2017,NA,10297,1719,52004,NA,NA,4764,NA,146769,NA,No,NA,NA
Aditya Birla Fashion & Retail Ltd,2018,325314.36,12569,1590,57877,No Living Wage Policy,NA,4233,4230,151403,NA,No,NA,NA
Aditya Birla Fashion & Retail Ltd,2019,364670.28,13308,937,59101,No Living Wage Policy,NA,4148,2381,124084,NA,No,NA,NA
Aditya Birla Fashion & Retail Ltd,2020,361739.52,NA,937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aditya Birla Fashion & Retail Ltd,2021,NA,25000,NA,NA,NA,NA,2240,2985,NA,140000,NA,NA,NA
Aditya Birla Fashion & Retail Ltd,2022,450000,15632,1926,39300,No Living Wage Policy,NA,3736,1814,198784,25000,NA,NA,NA
Aditya Birla Fashion & Retail Ltd,2023,651,NA,NA,NA,NA,NA,5555,NA,NA,NA,NA,NA,NA
Aditya Birla Sun Life Amc Ltd. (Investment Management),2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Al Mehwar Commercial Investments LLC,2021,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
Alecta Pensionsforsakring,2020,NA,NA,NA,NA,NA,No - neither,NA,NA,NA,NA,NA,NA,NA
